,comment,quality,difficulty
 CORES44,Harvey is so inspiration and adorable! Class with him is always fun!,4.5,3.0
 CORESAD44,"I took his Consumption&Material Culture, which was my favorite class of that semester. Readings are challenging but manageable. When it comes to grading, he cares more about the improvements you've made throughout the semester. He's a great professor.",4.0,2.0
 SOCIOLOGY,"I love this class! Do the readings and you''ll do great. Didn't have any prior interest in Sociology. Professor Molotch made the class very interesting, engaging, and relatable!",5.0,4.0
 INTROSOC,"i had her as a t.a. for dalton conley's intro to sociology class. she was really nice, an easy grader, and had a great sense of humor. i would definitely sign up for her recitation again",5.0,1.0
 SOC001,"I will always remember this class! Professor Royster is the most intelligent and perceptive professor I have had the pleasure of having at NYU so far.  All opinions welcome! Safe space! Insightful, innovative and controversial texts! The work is time consuming but the class and Prof. Royster are definitely worth! You will learn so much from her!",5.0,3.0
 INTROMET,Molotch is fascinating and engaging; He weaves in fun stories into lectures.  He has clearly thought out the reading selections so as to provide an interesting variety (although a lot of it).  Assignments and midterm were fairly harmless. This is a class worth going to everyday.,4.0,3.0
 TEXTS101,"Chazan is awesome. His lectures are engaging and clear. He's a very kind and gentle person and can be funny at times too. His exams are pretty straight-forward. Just know how to identify certain citations from texts, understand the main concepts he presents in lecture, and you're golden.",5.0,3.0
 HBRJDUA161,"Wonderful, kind, funny, extremely good-natured History and Hebrew  Judaic Professor, I had him the first semester at NYU, and his class was what made it the most truly enjoyable. Strongly recommend anyone interested taking the ""Foundation of Christian-Jewish Argument"" course if you can. Again, a great man and a truly exceptional teacher.",4.5,1.0
 MAPTEXT,T&I is notorious for being time-consuming and boring but I loved Prof Chazan and his class! Very reasonable workload and he gives very interesting explanations and raises good questions for you to think about. TAs are all very helpful. Exams are easily as long as you read and go to recitations. It was a pretty easy A.,5.0,1.0
 CNWST101,a great professor! very helpful and passionate about the material. cares about his students. i definitely recommend his class. (I took ConWest Antiquity and the Enlightenment),4.0,2.0
 CONWEST,"He was very nice and had a great way of speaking.  I like philosophy, so I liked his class.  It can get boring if he doesn't let you have some class discussion.   He's the kind of teacher who you can learn a LOT from if you care.  Probably best conwest class offered.",4.0,2.0
 MAP101,"Fun-loving teacher. Very enthusiastic about the subject. But the class itself (and all of the readings) are boring as hell. Grade depends entirely on the TA, who most of the time grade harshly. Tons of reading and a bit of writing.",4.0,4.0
 CWESTENLI,"really good prof... made the boring text interesting and i actually learned quite a lot, more than i thought would out of a conwest class. recommended if you don't mind writing a response paper for just about every lecture.",5.0,4.0
 CONWEANEN,I went in2 Con West thinking- I'm clearly p/f this class. Even as we went over the syllabus the 1st day I was writing down p/f on the front of my papers. Well it turned out 2 b such an interesting class with Prof Chazan. Such a knowledgeable and friendly guy! I  did not do p/f and I'm so happy 4 it. Turned out 2 be 1 of the best classes I've taken!,5.0,2.0
 CONW001,"He is a very fabulous professor. Helpful when you need him to be and just a great man in his field, considering he wrote 13 books in his field.",5.0,1.0
 RUSS1917,"Cohen is his own best critic. It is true that his class focuses mainly on domestic/internal affairs of Russia and not so much relations with the West, a fact he admitted recently. However, he is very good at what he does. While he seems set in his way, he is not oblivious to opinions other than his own. A great prof and a great character.",4.5,3.0
 RUSWC,"Regarding the comment below.. I didn't **** my TA and I got straight As too. But TAs are important too.. If you do the reading and pay attention you're straight. Lectures are initially informative, and less relevant down the line (when he tells Russia jokes) Cohen is a controversial expert in his field and set in his ways, but I enjoyed his class.",4.0,2.0
 RUSSI1917,Cohen is the most amazing prof. you might possibly have... EVER!,5.0,4.0
 WCRUSSIA,"Great prof, great topic if you're interested in Russia.  TAs suck.",4.0,4.0
 WCRUS1,= AWESOME.,4.0,4.0
 RUSSIA1917,"Very interesting lectures, Cohen definitely knows what he's doing, but the grades all come from the TA's.  A good class if you honestly want to know more about Soviet history, but if you're not interested at all in it don't bother, obviously.",4.5,3.0
 COMM1830,"Funny enough, but lectures are an absolute bore. As long as you hit the time and subject constraints, you won't have an issue getting a good grade. Make sure to show up to lecture, two free skips, but then it becomes a letter grade drop.",4.0,1.0
 PSPEA1805,Manos is Great! I took two classes with him.,5.0,2.0
 PUBSP,manos is engaging with his students. barely any work but just have to do the speeches obviously and show that you spent time rehearsing. would recommend for an easy a,5.0,1.0
 PUBSPEAKI,"A wonderful, wonderful professor. He makes everyone feel very comfortable in an otherwise uncomfortable position. Public speaking is scary but this guy shows how doable it is. Most helpful teacher I've had at NYU.. can't say enough about him.",5.0,2.0
 INTER001,"Great professor. Knows his students and how to keep them interested. If I have the chance, I will schedule more classes with Manos.",5.0,1.0
 SPEECH,MANOS IS THE MAN!!!,4.0,2.0
 SPEECHCOMM,"hes really easy, extremely nice, understanding, doesn't assign too much work, and all around a good professor.",5.0,2.0
 E21,No Comments,5.0,2.0
 KOREA543,"Professor Em is a very chill, laid-back, and knowledgable guy with a great sense of humor. I enjoy going to his lectures. If you're not a patient person, or have no interest in Asian history, then I suggest you not to take it. But if you are a Asian history-lover, take his class. He is very friendly and welcoming if you ever need help.",4.5,3.0
 ISDK001,"Just like any, or most, Asian history classes are in America, chipped portion of Korean history is presented to us as if that is the only truth. Class material itself is more than solid, nice professor,good things to learn about, but do not walk out of the classroom and think that you have seen every aspects of Korea.",4.0,3.0
 HIS417,"Em is a very smart and well read man. Lectures can be slow, but don't get freaked out if he stops talking for a few seconds, he's just collecting his thoughts. His choice of readings and ability to alter the direction of his courses based on students needs is impressive. I highly recommend this professor.",4.0,4.0
 ASIAN472,No Comments,5.0,3.0
 AS154,"Very nice professor, really easy class",4.5,2.0
 INTPL101,Your experience in this class really depends on the TA you get since they'll be the one grading the 2 page current event papers. Mine was a harsh grader but it got easier once I figured out what they wanted. The readings are quite dense but you can manage without reading everything. The tests don't exactly mirror recitation practice though. ,4.0,4.0
 POLUA700,"This was honestly a very easy class. Professor Simonelli's lectures are overall not bad - some quirks here and there but nothing appalling. She gives a really generous curve and has clear and lenient grading criteria. If you put in the slightest effort, you'll do great. Anyone saying the class was horrible just doesn't want to work or study.",5.0,2.0
 POL700,"Simonelli seems more fit for in-person teaching but was able to adjust by end of semester. Explanations of the concepts were insightful and appeared on the small amount of homework we had as well as the exams, but sometimes got drawn out with too many case-studies. Classmates complained a lot about her in GroupMe but they were equally unbearable.",4.0,1.0
 WPWO,"One of the best lecturers that gives you amazing insight into politics and power struggles. The only downside is the grading. It is very tough and one sometimes ambiguous topics briefly described in class or hidden in a random bullet in the powerpoint. The curve should take care of it though, so don't miss out on this class for fear of a bad grade.",4.5,4.0
 CLINLAB,best prof. i've had at nyu.  very helpful and understanding.  definitely take a class with her- you will not regret it.,5.0,1.0
 PSYSTAT,Joan is the best profesor I have ever had.  She is always there for her students.  Take her classes if you can!,5.0,3.0
 INTMICRO,"I was nervous about taking micro since im not so great at math but she was patient, provided extra support and worked hard to ensure I didnt bomb the course. To fail this class would mean you never came to the course. she is super knowledgeable on micro and world events. she used relevant topics to teach.",5.0,3.0
 ECON050,Excellent professor. Really takes the time to make sure you understand the material! Much better than your average NYU econ professor,4.5,3.0
 MICRO,No Comments,5.0,2.0
 PUBLICECON,Always available for help...she has a good grasp of the subject and brings some humanity and real world revelence to the class material.,4.5,3.0
 MICROECONOMICS,Found the class boring.  Accent made it hard to understand at first.,4.0,2.0
 PRINCIPLES1,"Very helpful both inside and outside the classroom.  She does care about the students and really understood the material she covered.  Fair grader and not too difficult a class, especially if you are interested in economics",4.5,2.0
 FFM,"if you want an A in this class, make sure you understand EVERY. SINGLE. HW. ANSWER.  the midterm is OPTIONAL and the final is 40 questions, 38 are replicas of hw problems with some numbers changed.  the man is very nice but sometimes can be boring.  the class itself was ok.",4.0,3.0
 FINCUB2,Foundations of Finance isn't the worst class but just make sure you know Statistics. There are lectures twice a week where the professor just goes through his slide shows. There's a lot of quizzes and four total homework assignments but the real problem is that the midterm and final is 70% of your grade so you can't afford to mess up.,4.0,3.0
 POETRY,"Scott is totally cool, very supportive and fuzzy",5.0,3.0
 LAE101,"Rebecca Packer is one of the most wonderful professors I have ever had.  She really cares about her students, the subject matter at hand and she is just fun!  The only negative thing about her is that she does not stay on schedule and her syllabus is constantly changing.",4.5,2.0
 LANG1,"Despite her Hungarian accent, Ana was very helpful and clear in teaching Language.  The material very clearly followed the textbook, and the tests matched the difficulty of the assignments.",4.5,2.0
 TAL101,"I know most people like Prof. Packer, and I do too.  She's a nice lady who has a good rapport with her students.  But the class discussions about texts were pretty lightweight.  The problem is that the class is geared toward modeling a high school classroom.  That's fine, but I sometimes felt like I was being treated like I was 16 years old.",4.0,1.0
 LITASE,"SOOOO CUTE -- love her, I want to hangout with her",4.5,2.0
 LITASEXPL,"Rebecca is amazing! She's very understanding and caring when it comes to her students. She is passionate about what she's teaching, and doesn't assign needless work. I wish she could be my teacher for every class!",5.0,3.0
 POETRP100,Amazing teacher. I had her after I transferred to NYU and her poetry class was the best class I ever took at NYU. She was also my Supervisor for student teaching and she has shaped my pedagogy as a teacher now. Anyone is lucky to have such an intriguing and warm hearted individual as a professor.,4.5,3.0
 ENG101,Wendy is great! Makes you think outside of the box - 10x over. Inspirational and funny too. Assignments are hard but rewarding.,5.0,3.0
 LITTEAE,"Probably the best professor I've had at NYU. Entertaining, interesting, and enlightening. Sometimes a little insane and overanalytical but very insightful. Talented at inadvertently making students feel stupid, but values and is interested in all students' ideas. Clearly passionate about lit and teaching. Frankly, I would marry Rebecca if I could.",4.5,2.0
 LALEMMC,"Literacy and Language Education in Multiethnic and Multicultural Classrooms.  Fantastic.  Literacy is clearly her passion.  In-class time is a little tedious at times, but it always involves the class.  Reading is optional (though she would never tell you that), and much of the class is debate and discussion based. She really likes hearing opinions",5.0,1.0
 ENGED,"Rebecca truly inspired me to be the absolute teacher I can be.  She is a model teacher as well as a warm and caring person.  Thanks for everything, Rebecca!  I still credit you as the best teacher I ever had!  :)",5.0,3.0
 EVERYTHING,Rebecca is amazing! I miss her now that I'm not at NYU anymore!!  I'm going to go call her now!,5.0,2.0
 LIT,No Comments,5.0,2.0
 1111,Best teacher at NYU! I loved her classes! Great person to hang out with!,4.5,2.0
 DWPG01,This man is brilliant. This class was the best three hours of every week. Highly highly recommended.,5.0,3.0
 DWPGUT1103,"The best part of freshman Dramatic Writing. Awesome lectures that really make you appreciate your art. He's an easygoing, laidback guy but he won't tolerate that guy who makes dumb comments in the front of the class.",4.5,3.0
 DWPGUT1104003,"This man is the best professor I have had in my college career.  He is wildly intelligent, and I leave every lecture with a clearer and more informed understanding of the craft of drama. Go out of your way to take him for Forms of Drama. The class will constantly remind you why you wanted to be in DDW. He is worth your NYU tuition and more.",5.0,2.0
 FSA001,"As a screenwriting student, I've literally learned more from this guy than the rest of my classes put together. Worth an NYU tuition alone? I dunno, but if anyone is it's Gordon.",5.0,2.0
 FORM001,"Gordon Farrell is the only teacher I have ever had that can keep me interested for three hours straight. Seriously, the guy is a fountain of knowledge that it is my pleasure to drink from. I wish I could take all my classes from him.",5.0,2.0
 DRAMASECT,No Comments,5.0,3.0
 THEATRE,No Comments,5.0,1.0
 FORMSOFDRAMA,Best theatre hist. teacher in DDW.  The man is amazing.,5.0,3.0
 PSYCH101,"Teaches interesting material that's applicable to real life and always makes lecture fun. 4 straight forward exams make up 80% of your grade. No midterm or final, but you're required to do 7 hours of research participation (which basically entails doing some surveys, small tasks, etc.) Overall, a fun easy A as long as you pay attention in class",5.0,1.0
 PSYCH1,"There are 3 tests and an optional final. Sara gives excellent lectures and she does provide study guides for her tests. However, the study guides could be more useful and narrowed down a bit. As long as you attend lectures and recitations + read the textbook you should be set. Her test questions are a bit confusing, however.",4.0,4.0
 PSYCHUA1,"Very interesting course that I would recommend to take. The downside is that there is no visual presentation to help you follow the lesson. Hence, you will need to attend recitation (optional) to go over the given topics. Course's grading breakdown is simple: 4 non-commulative exams and you're allowed to drop the lowest scored.",4.0,1.0
 PSYCHUA1011,"Great class. Take Phelps for intro to psych. She's the bomb. The lecture notes are good enough and the lectures are clear so that you can understand easily.  Sometimes graders are stupid, but if you try you can get an A. ",5.0,2.0
 INTROPSYCH,"I loved taking Into Psych with Marcus! He seems to enjoy psychology so much, and he really gets into it. I really liked his lectures - he brought new and interesting information to the table, and moved at just the right pace for me. It was wonderful to take a class from someone so passionate about their subject!",4.5,2.0
 PSYCHINTR,"Excellent prof, is close in lecture to book material, if you attend lecture and read the book, it's very possible to get an a.",4.0,2.0
 INTRO001,"really good guy. hes interesting and you can tell he loves his job. he is passionate, caring, and truly sincere. TAs are great. they clearly are enthusiastic about the subject and eager to teach (which is good, they dictate entire grade). i have found the TAs fair and engaged.arum is my favorite of the semester.",4.0,3.0
 FMTVUT0043,"Arnie is by far the greatest professor I have ever had. He tailors the class to his students. Every day is different and exciting! His passion for filmmaking is undeniable. He is incredibly encouraging and positive, which creates an atmosphere where students feel comfortable pushing themselves and taking creative risks. Take this class!  ",5.0,1.0
 FMTVUT43,"I had Rick for Language of Film but he was even better for Sight & Sound Filmmaking. He will meet with you one on one to go over your film after it has screened and is reasonable about deadlines and rescreenings. He will push you hard, but your abilities as a filmmaker will grow. His critiques are well thought out and he'll let you know how it is.",4.5,3.0
 FILMPRODUCTION,"I saw him trip on a wire, sending a fully lit and positioned light toward his head, prompting a student to jump down two rows to catch it, inches from mortally wounding him, then this causing the outlet to catch on fire because of the apparant strain on the wire.  It all happened so fast.  It was hilarious.  Great teacher!  Laughed it off & kept go",4.5,2.0
 SIGHTANDSOUND,"so, I like david.  He's a good guy, and I really like the way he dresses.  that one hat he always wears is like, so, you know, him.  You know what I mean.",5.0,4.0
 FMTV43,"""What if Arnold Baskin taught you S&S Film?"" You would love it.  The class is entertaining and interesting.  Arnie's use of the red laser pointer is hilarious and informative. His comments are fun and you learn a lot through watching different films.  It is an easy and entertaining class. You will not be bored.",4.0,1.0
 FILM006,"Your classmates in Arnie's class will become your family. Prof Baskin's warm, friendly personality allows for a productive and amicable forum for film criticism and brainstorming. Arnie is my favorite professor I've had while at NYU. The only quality which outweighs his wit and charm is his love & knowledge for cinema. Don't miss this opportunity.",5.0,2.0
