,id,name,quality,numOfRatings,department,wouldTakeAgainPercent,difficulty
34,177733,Antonio Rutigliano,4.4,27,History,100,2.1
35,184255,Martin Harries,3.8,12,Theater,N/A,3.1
36,187881,Grant Wenaus,4.1,6,Music,N/A,3.8
37,190132,Anya Saffir,4.6,13,Theater,N/A,3.3
38,195465,Rodolfo Aiello,2.3,15,Languages,N/A,3.7
39,197711,Bill Phillips,4.0,12,Communication,N/A,2.1
40,197988,Keith Vincent,4.2,10,Literature,100,2.6
41,198918,Charles Wilson,3.3,15,Economics,100,4.1
42,214243,Gordon Pradl,4.5,5,English,N/A,2.6
43,218972,Mahnaz Yousefzadeh,2.3,27,Humanities,50,3.1
44,221926,Walter Alvarez,3.6,23,Social Science,67,1.8
45,226126,Bill Wesbrooks,4.4,9,Music,N/A,3
46,229005,John Leahy,3.9,15,Economics,N/A,3.7
47,229010,Neville Kallenbach,3.7,29,Chemistry,50,3.3
48,197997,Moss Roberts,3.4,28,Literature,100,2.3
49,246012,Scott Hightower,4.2,11,English,100,2.1
50,246750,Mary Carpenter,4.5,13,Communication,N/A,2.2
51,246762,Heidi Fuld,4.3,4,Education,N/A,3
52,247988,Bertell Ollman,2.3,54,Political Science,67,2
53,250328,Rachelle Sussman,4.1,8,Communication,N/A,2.9
54,250333,Terry Moran,3.1,33,Communication,100,3
55,252129,Lara Narcisi,4.5,6,English,N/A,3.8
56,254008,Anne Marie Tamis-Nasello,3.6,6,Italian,N/A,2.8
57,262333,Elliot Wolfson,3.4,4,Theology,N/A,3.8
58,264134,Fred Greenleaf,3.2,20,Mathematics,N/A,3.6
59,266382,Qiuxia Shao,4.7,13,East Asian Studies,100,3.3
60,266476,Robert Wallace,2.6,47,Science,N/A,3.3
61,268538,Martin Roberts,1.0,2,Communication,0,3.5
62,272742,John Richardson,4.4,12,Philosophy,25,3
63,272743,Ned Block,4.3,13,Philosophy,58,3.2
64,274934,Paul Glimcher,4.7,22,Science,N/A,3.6
65,278801,Simeon Berman,3.6,8,Mathematics,N/A,1.6
66,278914,Chery Sterling,2.8,16,Not Specified,N/A,3.6
67,280342,Miriam Frank,2.7,71,History,N/A,3.3
68,284949,Tommy Lee,3.8,42,Biology,100,3.3
69,285583,Jose Vazquez,4.7,23,Not Specified,N/A,1.5
70,287869,Frederic Lerner,2.7,12,Accounting,100,3.2
71,289064,Craig Calhoun,3.4,10,Sociology,N/A,3
72,289108,Wendy Bednarz,3.9,14,Film,N/A,2.7
73,292521,Jindrich Zezula,4.3,21,French,100,1.5
74,293388,Aaron Hipscher,3.9,27,Accounting,N/A,4
75,295364,Greg D'Amico,3.5,7,Communication,N/A,2
76,296871,Maurice Miller,2.4,6,Communication,N/A,1.7
77,305464,William Klein,3.0,70,Medicine,56,2.1
78,305504,Jane Laforge,3.7,19,English,N/A,3
79,305639,Gabriel Moran,3.6,6,Education,N/A,1.7
80,312893,Evan Mueller,5.0,7,Music Performance,100,2.7
81,313916,John Crawford,5.0,11,Film,N/A,2.9
82,317947,Eunha Choi,4.5,6,Languages,N/A,3
83,321024,Sheldon Woodbury,5.0,6,Film,100,2
84,323028,John Sexton,4.6,19,Law,100,3.6
85,327118,Robert Richardson,2.3,9,Physics,N/A,4.6
86,327139,B.C. Roberts,1.5,21,Writing,N/A,4.5
87,327142,Jeffrey Jenkins,3.1,21,Theater,N/A,2.7
88,307513,Andrew Gebhardt,2.4,15,English,N/A,3.5
89,307516,Mariela Dreyfus,3.8,10,Spanish,100,2.7
90,308249,Robert Boland,3.5,11,Management,N/A,2
91,308573,Ned Wilson,3.4,11,Liberal Studies,N/A,2.1
92,309233,Chet Advani,4.6,27,Mathematics,100,2.3
93,315264,Mehmet Tabak,4.5,31,Political Science,72,2.6
94,352763,Nuar Alsadir,4.2,40,Writing,89,2.7
95,353656,Linda Almeida,3.7,7,English,100,3.4
96,356831,Jenna Hirsh,5.0,5,Mathematics,100,2.6
97,357163,John Singler,4.5,6,Linguistics,N/A,2.5
98,358036,Pamela Newkirk,1.8,16,Journalism,40,3.1
99,359182,Tom Igoe,3.2,5,Fine Arts,N/A,3.4
100,361101,Tom Meyvis,4.3,7,Marketing,N/A,2.6
101,361505,Amitav Chakravarti,4.3,8,Marketing,N/A,2.6
102,369780,Catherine Fitterman-Radbill,1.8,18,Music,N/A,2.8
103,372712,Nick Tanis,4.4,34,Film,100,2.5
104,377949,John Gurrin,4.4,14,Film,100,1.7
105,381063,Bridget O'Connor,2.8,7,Education,N/A,2.7
106,381355,Albert Novikoff,2.3,15,Mathematics,N/A,2.9
107,388325,Morten Parker,4.9,7,Film,N/A,2
108,389948,Celia Stewart,1.3,6,Communication,0,3.7
109,390531,James Colaiaco,4.0,45,Philosophy,0,2.9
110,400876,Ray Dougherty,2.4,19,Linguistics,N/A,2.8
111,405301,Harry Kitsikopoulos,3.4,115,Economics,N/A,3.1
112,405908,David Sider,4.8,6,Classics,100,3.8
113,405913,Sibel Erol,4.6,16,Languages,100,2.5
114,410515,Mitchell Langbert,2.3,3,Business,0,1.7
115,414680,Gary Holden,3.3,11,Social Work,43,4.1
116,416040,Marion Kaplan,3.4,13,History,100,4.1
117,416131,Nader Masmoudi,3.0,15,Mathematics,N/A,3.5
118,382751,S R S Varadhan,2.2,6,Mathematics,34,2.5
119,387527,Genna Estraikh,3.6,7,Religion,N/A,2
120,433977,Boyan Jovanovic,3.3,8,Economics,100,3.1
121,433978,Jean-Pierre Benoit,4.5,4,Economics,N/A,3.3
122,435841,John Frecerro,3.5,7,Ethnic Studies,N/A,3.3
123,436421,Karen Finley,2.7,8,Social Work,67,1.5
124,442544,Paul Thaler,4.1,11,Journalism,75,2.1
125,442872,Christine Choy,3.5,6,Film,100,2
126,444690,Anabel Lopez-Garcia,4.0,10,Spanish,67,3.4
127,444994,Perry Halkitis,4.9,8,Psychology,N/A,3.5
128,446750,Janet Neipris,3.2,3,Adult Basic Education,N/A,2.7
129,447724,Michael Krass,3.8,15,Design,N/A,3.6
130,448699,David Berry,4.0,6,Liberal Arts & Sciences,N/A,2.8
131,448709,Gary Marcus,2.6,21,Psychology,100,3.5
132,451238,Patrick Deer,4.1,21,English,100,2.4
133,451275,Georgiana Perlea,2.5,4,Languages,N/A,2.3
134,453787,Despoina Lalaki,4.6,4,Languages,N/A,1.8
135,454651,Sharmila Mukherjee,3.1,23,Writing,N/A,3.4
136,454687,Scott Sanders,3.2,3,Languages,N/A,2.7
137,456317,Dalton Conley,2.5,36,Sociology,N/A,3
138,456327,Evelyn Vitz,4.4,8,Religious Studies,0,2.2
139,457158,Charlton McIlwain,3.3,8,Not Specified,N/A,3.6
140,457348,Chad Rice,4.1,10,Spanish,N/A,3.3
141,457409,John Daprato,3.9,8,Communication,N/A,2.3
142,457444,Sara Murphy,4.2,13,Literature,100,3
143,459695,Will McCormack,2.5,22,Writing,N/A,4.2
144,459696,Jessica Goethals,4.5,5,Languages,N/A,1.8
145,462108,Jay Rosen,2.6,7,Journalism,N/A,2.1
146,462111,Stacey Lutz,2.5,12,Psychology,N/A,3.4
147,462675,Thomas Nagel,4.3,6,Philosophy,N/A,3
148,464234,Hannah Messerli,4.2,9,Hospitality,0,3.6
149,465400,Douglas Lasdon,2.8,8,Law,0,3
150,478916,Randy Mowry,4.2,16,Psychology,N/A,3.1
151,480319,Edward Sullivan,4.5,2,Art History,100,3.5
152,480992,Tom Bishop,1.4,7,French,N/A,3.7
153,481440,Haruko Momma,3.4,17,English,100,1.9
154,483877,Joy Connolly,4.4,33,Classics,N/A,2.5
155,484661,Walter Reinhold,4.3,20,Music,N/A,2.4
156,484857,Ann Morning,4.4,15,Sociology,100,3.6
157,495345,Lawrence Watkins,4.4,32,Sociology,N/A,1.4
158,499999,Rodney Benson,2.8,5,Communication,N/A,3.8
159,500006,Erich Dietrich,4.5,7,Communication,N/A,3.6
160,503420,David Damstra,3.9,20,Writing,0,3
161,504128,Joan Horvath,3.6,12,Film,34,3.1
162,504868,Fritz Ertl,4.2,9,Theater,100,3.2
163,505386,David Irving,4.5,12,Film,100,2.4
164,505403,Bernard Manin,4.2,8,Political Science,100,2.1
165,505683,El Schucking,3.4,24,Science,N/A,2.2
166,506431,Jenny Leidner,2.9,17,Writing,N/A,3.7
167,506526,Paul Thompson,4.9,15,Film & Television,100,2.6
168,507023,Karen Hornick,4.2,11,English,100,2.7
169,507024,Judith Greenberg,4.1,20,Writing,80,3.1
170,507796,Mary Helen Kolisnyk,2.5,32,English,88,3.2
171,508076,Alberto Gabriele,1.6,14,Cultural Studies,0,3.5
172,508417,Mario Rizzo,3.2,13,Economics,80,2.9
173,508506,Samuel Marateck,3.2,57,Computer Science,N/A,2.6
174,509438,Kathleen Hulley,4.4,7,Literature,N/A,3.9
175,509483,Paul Monsour,4.5,10,Mathematics,N/A,3
176,509677,Mary Roma,4.1,40,Writing,94,1.4
177,509947,Bob Vorlicky,4.4,17,Theater,100,3.8
178,510147,Lynne Kiorpes,4.1,14,Arts & Sciences,N/A,3.6
179,511914,Mark Smith,3.0,24,History,100,3.3
180,513158,Ingrid Ellen,4.5,2,Social Science,100,3.5
181,518432,Gabrielle Starr,3.6,16,Literature,N/A,3.5
182,518433,Lamar Sanders,4.1,19,Film,100,2
183,518746,Todd Disotell,4.2,18,Anthropology,34,3.4
184,520355,Dan Rudofossi,4.8,6,Psychology,N/A,2.2
185,521083,Pedro Noguera,4.8,6,Education,N/A,3.2
186,521341,Joe Salvatore,4.9,9,Theater,100,2.8
187,522831,Dermot Gately,2.6,25,Economics,N/A,3.5
188,531406,Ronald Moglia,3.6,13,Psychology,N/A,2.3
189,532399,Payman Norestah,3.3,9,Mathematics,50,2.7
190,538919,Charles Affron,3.2,5,Film,N/A,3.4
191,538961,Marion Casey,3.1,18,Ethnic Studies,100,3.4
192,544180,Tycho Sleator,3.1,14,Physics,0,3.3
193,544919,Stephen Small,4.1,46,Science,90,3.7
194,548714,Peter Nemethy,3.4,5,Physics,N/A,4
195,549444,Jocelyn Gonzales,4.6,25,Film,100,2.4
196,549700,William Velhagen,3.7,43,Biology,N/A,3.3
197,552774,Andrea McKenzie,4.8,13,Writing,N/A,3.3
198,552919,Cathy Benedict,3.5,8,Music,N/A,3.5
199,555050,Jacqueline Jaffe,3.6,35,Liberal Arts & Sciences,N/A,3.8
200,556745,Angela Frattarola,4.1,21,Writing,72,3.2
201,556808,Antoinette Nwandu,4.2,3,Writing,N/A,4
202,556972,Matthew Evans,3.0,10,Philosophy,N/A,3.3
203,558909,Elizabeth Diggs,2.5,16,Writing,N/A,2
204,558974,Tracy Daraviras,4.2,5,Education,0,2.4
205,539459,Olivia Birdsall,3.5,36,Expository Writing,78,3.3
206,542430,Leonard Wantchekon,1.5,12,Political Science,N/A,2.9
207,569391,Kimberley Monteyne,4.3,2,Film,N/A,2
208,575609,Nathaniel Bennett,4.6,27,English,100,3.6
209,579256,Faye Ginsburg,5.0,3,Anthropology,N/A,3.3
210,585958,Jo Ellen Fisherkeller,2.3,19,Communication,0,3.3
211,586599,Fran Stern,4.2,10,Journalism,34,3.9
212,588004,Daniel Banks,2.5,12,Theater,100,3.6
213,590483,Gregory Gabadadze,3.5,9,Physics,100,1.7
214,590485,Markus Cruse,4.8,4,French,100,3
215,552831,Christopher Trogan,4.3,31,English,100,3.2
216,598199,James Bryan Wolcott,4.9,9,Languages,N/A,2.9
217,599406,Elihu Rose,4.3,21,History,N/A,2.9
218,604172,Ezra Sacks,4.6,7,Film,N/A,1.6
219,608946,Scott Eggebeen,2.3,12,Psychology,N/A,4.3
220,608973,Henrie Goldwyn,3.9,15,French,N/A,2.1
221,610811,Susan Anton,4.4,21,Anthropology,100,3.8
222,610871,Irina Belededova,4.8,8,Languages,N/A,2.1
223,612517,Marco Aponte,4.8,4,Languages,N/A,3.3
224,614188,Kim Phillips-Fein,4.0,12,History,100,2.8
225,614672,Nancy Jackson,3.0,15,Nursing,N/A,4.3
226,615601,Janusz Ordover,2.5,2,Economics,N/A,2
227,615603,Alessandro Lizzeri,2.4,8,Economics,25,3.4
228,615604,Susan Gale,2.1,29,Economics,N/A,2.5
229,580544,David Hogg,3.2,60,Physics,79,3
230,592599,Denice Martone,4.5,13,Writing,84,2.6
231,593826,Martin Schain,2.8,10,Political Science,N/A,3.6
232,593827,Denis Kosygin,3.0,23,Mathematics,100,3
233,594562,Sudhir Mahadevan,2.5,2,Film,0,3
234,595197,Kyra Gaunt,2.3,6,Music,N/A,1.3
235,596141,Denis Pelli,2.9,15,Psychology,100,2.5
236,596591,Greg Murphy,3.6,16,Psychology,100,3.4
237,596929,Shelly Rice,4.1,11,Fine Arts,100,2.5
238,597143,James Uleman,2.9,36,Psychology,38,2.7
239,597290,Catherine King,3.9,22,Science,N/A,2.6
240,638083,Thomas Abercrombie,1.8,32,Latin American Studies,0,3.3
241,638650,Jessica Shimmin,3.2,10,Communication,N/A,3.3
242,640412,Rita Pasqui,4.0,5,Italian,N/A,2.4
243,641613,Ann Pellegrini,4.7,12,Performing Arts,100,3.5
244,644442,Susan Russell,3.2,3,Humanities,N/A,3.7
245,647013,Aisha Khan,3.1,32,Anthropology,100,2.8
246,648682,John Bildersee,2.2,7,Accounting,0,4.4
247,653435,Amos Poe,4.2,9,Film & Television,N/A,2.4
248,670972,Hector Feliciano,5.0,5,Art History,N/A,2.4
249,673732,Matthew Gilgoff,5.0,6,Writing,N/A,4.7
250,675753,Richard Heffner,3.8,4,Communication,N/A,3.5
251,676667,Kenneth Peacock,1.6,14,Music,N/A,3.4
252,679665,Richard Hull,4.0,12,History,N/A,2.5
253,682353,Chris Straayer,4.7,6,Film,100,3.2
254,682726,Alex Dontoh,4.1,6,Accounting,100,2.7
255,683706,Khaled Fahmy,4.4,12,Near Eastern Studies,N/A,2.8
256,683809,Philip Taylor,4.3,3,Music Performance,N/A,3
257,685458,Carolyn Wagner,3.3,4,Education,34,2.2
258,686655,Vivien Orbach-Smith,4.3,7,Journalism,0,2.6
259,687668,Erika Devries,4.3,3,Photography,N/A,1.7
260,691972,Charles Peskin,4.6,10,Mathematics,72,2.7
261,694716,Rebecca Mercer-White,4.3,6,Education,100,2
262,695615,Olof Widlund,1.9,10,Mathematics,N/A,3.2
263,696388,Bonnie Selterman,2.9,19,Communication,N/A,2.6
264,623577,Helen Nissenbaum,1.2,5,Communication,0,2.2
265,627922,Ruth Horowitz,3.6,9,Sociology,0,2.4
266,629046,Xudong Zhang,3.2,12,Literature,0,2.7
267,631944,Deborah Willis,3.3,6,Film,N/A,2.2
268,632172,Panos Ipeirotis,4.6,7,Business,N/A,2.3
269,632561,Carlos Seidler,3.8,3,Languages,N/A,3
270,633725,Mark Read,3.4,5,Journalism,0,2.8
271,651720,Terrie Epstein,4.5,2,Education,N/A,2.5
272,738063,Frederico Bertagnoli,3.8,10,Communication,N/A,2.5
273,739043,Ken Liotti,3.1,11,Film & Television,100,2.4
274,745389,Beth Epstein,3.7,3,French,0,3.3
275,747903,Maeve Adams,3.7,13,English,N/A,3.8
276,752184,Luke Fiske,3.6,25,Writing,67,4
277,752923,Stacy Pies,3.9,12,Writing,100,3.7
278,753274,Xiao Xiao Jiao,4.2,10,East Asian Studies,N/A,3.7
279,754423,Rita Wright,2.9,17,Anthropology,100,3.1
280,696286,Sang-jin Bae,4.6,9,Animation,100,2.9
281,699006,Danny Carragher,4.9,7,Psychology,N/A,1.6
282,761762,Heather Lukes,4.8,2,English,N/A,3
283,761978,Anne Rademacher,4.2,19,Sociology,75,3.8
284,761981,Francesco Ianni,3.3,7,Statistics,N/A,2.1
285,762162,Zvi Ben-Dor,3.4,28,Cultural Studies,N/A,2.6
286,762577,Edgar E Coons,3.1,62,Psychology,50,3.3
287,763556,Patricia Lennox,4.1,13,English,N/A,3
288,765235,Tzu Wen/ Vincent Cheng,3.9,9,Communication,N/A,2.6
289,766538,Deborah Stein,3.6,13,Writing,N/A,2.9
290,766875,Bob Richter,5.0,23,Communication,100,1.7
291,768282,Elaine Freedgood,2.8,17,English,100,3.9
292,769312,Robert Whitelaw,4.7,3,Finance,100,4.3
293,771404,William Rauscher,4.7,3,Foreign Languages,N/A,1.3
294,773926,Etem Erol,3.3,14,Near Eastern Studies,N/A,2
295,774032,Amaya Amell,4.9,7,Spanish,N/A,2.1
296,775990,Georgina Dopico Black,4.9,6,Spanish,N/A,3
297,779179,Jeff Strabone,4.2,21,Writing,N/A,3.2
298,735966,Barney Bramham,4.8,6,Mathematics,N/A,2.8
299,737023,Paul Urcioli,5.0,4,Theater,N/A,3.5
300,737171,Robert Boynton,3.5,5,Journalism,N/A,4.2
301,738070,Sam Howard-Spink,4.6,11,Communication,100,2.8
302,794163,Marion Katz,3.9,17,Near Eastern Studies,34,3
303,797419,Antonio Lauria,3.6,4,Writing,0,1.5
304,797420,Robert Hinton,3.3,4,African Studies,N/A,2
305,797978,Efrain Azmitia,2.7,28,Biology,60,3.1
306,799462,Mark Arywitz,4.5,14,Film & Television,100,1.9
307,799560,Scott Kellogg,4.3,26,Psychology,75,1.5
308,800241,Jeffrey Korn,3.4,5,Computer Science,N/A,4
309,800919,Tom Jacobs,4.3,10,Writing,100,2.5
310,801254,Tracy Miller,5.0,3,English,N/A,3.3
311,802875,Robert Shrum,4.7,8,Political Science,100,2.5
312,803032,Tom De Zengotita,5.0,1,Philosophy,N/A,4
313,803706,Lindsey Eufusia,4.0,3,Italian,N/A,2
314,803753,Joseph Oved,3.9,11,Chemistry,N/A,2.8
315,804782,Zhanwei Yue,2.6,8,Economics,N/A,3.4
316,806264,John Jost,2.7,9,Psychology,N/A,3.3
317,806892,Erin Slattery-Black,4.9,4,Theater,100,3.3
318,811408,Asli Peker,3.0,15,Political Science,0,2.6
319,813031,Herrick Chapman,4.5,3,French Studies,100,2.7
320,813035,Rachel Dewoskin,5.0,2,Writing,N/A,2.5
321,813071,Peter Barton,2.5,4,Film & Television,N/A,3.5
322,815740,Luis Hall,1.8,13,Economics,N/A,3
323,816465,Sheldon Watts,4.6,10,Nutrition & Foods,N/A,2.6
324,817884,Mitchell Moss,4.4,4,Not Specified,N/A,2
325,817890,Roger Kropf,1.2,3,Health Administration,N/A,3
326,826937,Mikhail Iampolski,3.4,6,Russian Studies,67,3.2
327,828449,Stephanie Ponsavady,5.0,4,French,N/A,3.3
328,830997,Marc Barnhill,4.1,11,Writing,100,2.7
329,831379,Bambi Schieffelin,3.8,18,Anthropology,60,3.8
330,832388,Amy Topel,4.6,5,Nutrition & Foods,N/A,2.2
331,832850,Jason Stanyek,3.9,8,Music,N/A,3.1
332,833518,Saverio Spagnolie,5.0,2,Mathematics,N/A,3.5
333,834098,Michael Gilsenan,2.1,13,Near Eastern Studies,100,3.9
334,783511,Stan Mintchev,2.4,12,Mathematics,N/A,4.7
335,786311,Sydney Scott,4.7,22,Communication,N/A,1.9
336,786681,Seth Lobdell,4.9,11,French,N/A,2.3
337,790303,Zach Holbrook,5.0,4,English,100,2.5
338,790786,Benedick Turner,2.8,10,English,N/A,4.2
339,793025,Atilla Yilmaz,4.5,4,Mathematics,100,3.2
340,793131,Adrienne Ghaly,3.6,6,English,0,4.2
341,793909,Ben Stewart,4.3,19,Writing,50,3.4
342,835947,Jeffrey Sammons,2.3,13,History,100,4.6
343,836351,Daisy Bow,4.8,6,French,100,2.5
344,838629,Tahira Naqvi,4.5,5,Near Eastern Studies,N/A,1.2
345,838644,Maia Kayal,3.3,2,Biomedical,N/A,2
346,838876,Michael Laver,3.6,21,Political Science,0,1.9
347,839261,Stephanie Dubois,4.4,16,French,60,3.2
348,840392,Robert Rehder,3.4,13,Psychology,0,3.8
349,840685,Jonathan Zimmerman,4.6,26,History,100,2.8
350,842539,Lant Antonia,2.4,6,Cinema,100,3.2
351,843311,Denis Donoghue,2.6,6,English,N/A,3.8
352,844090,Mark Baltin,2.4,8,Linguistics,0,2.9
353,845694,Stella Lee,3.6,10,East Asian Studies,N/A,2.5
354,849255,Kirby Gookin,4.2,3,Art,100,3
355,849257,Davi Rimanelli,2.0,3,Art History,N/A,3.7
356,849259,Brooke Kroeger,2.7,15,Journalism,N/A,4.5
357,849446,Leigh Claire La Berge,3.6,8,Cultural Studies,34,4.1
358,854644,Michael Hawken,3.3,8,Arts & Sciences,N/A,3.1
359,856885,Joe Magee,2.0,10,Psychology,0,3
360,861729,Najma Harissiadis,1.8,5,Dance,0,1.6
361,864320,Christiane Manzella,2.2,5,Psychology,N/A,4.2
362,821475,Judith Helfand,1.1,5,Film & Television,N/A,4.2
363,822331,Ajay Maindiratta,2.9,8,Accounting,N/A,3
364,822333,Lasse Pedersen,3.3,3,Finance,N/A,3.7
365,825703,Jonathan Kahana,2.8,9,Cinema,N/A,2.9
366,829977,Ronald Zweig,4.3,38,History,65,3.1
367,867720,George Stoney,3.9,4,Film & Television,N/A,2.3
368,871840,Ann Marcus,4.5,1,Education,N/A,2
369,885363,Elizabeth Durden,3.3,7,Writing,N/A,3.9
370,885483,Louis Pagonis,4.7,12,Psychology,N/A,4
371,886207,Joanna Waley-Cohen,4.4,4,History,N/A,1.8
372,886317,Laura Henchy,0.0,0,Chemistry,N/A,0
373,886502,Suzanne Cusick,4.9,5,Music,100,3.6
374,888470,Donatella Delfino,3.5,2,Mathematics,100,3
375,835446,Penny Vlagopoulos,4.5,4,Writing,N/A,2.5
376,835447,Lauren Davis,4.5,5,Business,100,1.6
377,835596,Elizabeth Monti,4.5,10,Art History,100,2.7
378,835607,Tamera Sears,3.0,9,Art History,N/A,3.6
379,835795,Ross Tulloch,3.8,2,Mathematics,N/A,3
380,835802,Shoba Bandi-Rao,4.1,16,Writing,75,2.8
381,918068,Carmelo Larose,4.9,5,English,N/A,3.2
382,918111,Julie Browne,4.8,6,Political Science,N/A,2.3
383,918630,Henry Brenner,3.2,11,Chemistry,N/A,2.1
384,918944,Daniel Walkowitz,3.0,11,History,N/A,3.6
385,919235,Natalie Meir,4.6,8,Writing,100,3
386,919257,Ning Jiang,3.2,9,Mathematics,N/A,3.4
387,919844,Cristina Vatulescu,4.8,2,Cinema,N/A,2.5
388,920015,Marylouise Oates,3.8,7,Not Specified,N/A,2
389,859394,Shafer Smith,3.1,30,Mathematics,74,3.2
390,865077,Ricki Goldman,2.6,4,Education,N/A,2.3
391,865558,Marco Deseriis,3.8,12,Communication,N/A,2.5
392,866540,Hanya Wozniak Brayman,3.9,8,Spanish,N/A,1.9
393,866618,Anton Vishio,4.0,6,Music,100,2.8
394,942385,Robert J. Boylan,3.5,21,Microbiology,100,3.7
395,948267,Joseph Thometz,4.7,30,Cultural Studies,N/A,2.4
396,948784,Halley Moore,2.0,9,Writing,N/A,4.3
397,949145,Tom Gerety,4.5,38,Philosophy,100,3
398,950435,Liz Heard,2.7,13,Writing,N/A,3
399,952066,Bill Rayner,4.6,13,Music Performance,100,1.4
400,954179,Steven Soter,3.0,5,Classics,N/A,2.8
401,954582,Lisa Sokolov,3.0,6,Performing Arts,100,3
402,903690,Willemyn Don,3.8,4,French,N/A,3.3
403,903692,Juan Corradi,3.5,18,Sociology,N/A,2.4
404,904035,Pierre Germain,3.5,8,Mathematics,100,3
405,904639,Christopher Wall,3.2,30,Writing,65,3.9
406,905051,Andrew Goldman,4.7,5,Film & Television,100,2
407,909868,Daniel Tranchina,4.4,9,Mathematics,100,2.3
408,910465,Gabriela Ilieva,4.3,14,Near Eastern Studies,100,2
409,915187,Shirley Washington,2.2,10,Business,N/A,2.9
410,916126,Jose Munoz,4.2,5,Performing Arts,N/A,4.2
411,916237,William Felz,4.1,6,Communication,N/A,2
412,916723,Jocelyn Dueck,4.5,2,Music Performance,N/A,2
413,917209,Chris Mills,2.6,13,Theater,0,4.1
414,917292,Eren Tufekci,3.7,17,Economics,N/A,2.9
415,918032,Shawn Threadgill,3.4,14,Communication,N/A,2.9
416,920719,Richard Parra,4.3,6,Spanish,N/A,1.8
417,920721,Jeff Manza,4.2,28,Sociology,85,2.1
418,978547,Simon Jackson,4.2,9,History,N/A,4
419,979201,Mary Haslam,3.8,16,French,67,2.8
420,979697,Victoria Hart,4.6,6,Theater,N/A,4.3
421,980186,Jill Grossman,4.3,3,Journalism,N/A,3
422,980611,Rosalie Kamelhar,4.6,12,Hebrew,100,1.8
423,981666,Anne Marie Skvarla,4.5,3,Speech & Hearing Sciences,N/A,2.3
424,982230,Ben Sammons,3.3,7,Classics,N/A,3
425,982645,Talia Jimenez-Ramirez,4.5,1,Music,N/A,2
426,982727,Cobina Gillitt,2.8,13,Theater,0,3.8
427,984097,Thomas Bender,3.2,11,History,N/A,3.6
428,984432,James Peck,4.6,7,East Asian Studies,80,3.3
429,985682,Richard Horwich,1.7,3,English,N/A,3.3
430,990099,Salvador Martinez,3.0,2,Spanish,N/A,3.5
431,991847,Hasani Carter,4.5,2,Interdisciplinary Studies,N/A,4.5
432,993855,Suzan Russell,4.0,12,Liberal Studies,100,2.6
433,996159,Ambar MacHfoedy,4.7,22,Marketing,N/A,2.3
434,1002641,Sha Yang,4.0,3,Marketing,N/A,2.7
435,1003794,Jennifer Heerwig,4.5,1,Sociology,N/A,3
436,1004178,Tilottama Karlekar,3.3,10,Communication,34,1.6
437,1009248,David Barnett,2.5,8,Philosophy,N/A,3.6
438,1009296,Richard Arum,4.2,36,Sociology,N/A,2.6
439,1010376,Kostis Smyrlis,1.9,9,History,0,3.2
440,1021106,David Ludden,2.7,22,History,20,2.4
441,1024834,Carolyn Goldberg,4.7,3,Mathematics,N/A,3
442,954835,Amy Leclair,5.0,7,Sociology,N/A,1.9
443,954838,Ilana Derman,3.6,11,Nutrition & Foods,N/A,2.6
